date,ise2,sp,dax,ftse,nikkei,bovespa,eu,em,try_usd_ret,cbrt_rate,cbrt_delta,cpi_yoy,cds_proxy
2005-01-04,-0.010777925530222299,-0.011740004384716105,-0.00023998638713032435,,,-0.03456939043756383,,-0.031272510132476235,0.005194794358077448,32.0,0.0,43.935759999999995,
2005-01-05,-0.00815204780214759,-0.0036344391932794083,-0.007547291851454172,-0.008494819548961738,-0.006990185441320032,-0.006297961874681799,,-0.012317361193399276,0.01688113681290536,32.0,0.0,43.935759999999995,
2005-01-06,0.019049836426155386,0.003499726889387917,0.009977605423104578,0.0038004687465254317,0.004774606650887551,-0.013249546647034302,,-0.0006802482316328141,0.013374563848282705,32.0,0.0,43.935759999999995,
2005-01-07,0.031012502353133787,-0.0014321956835941646,0.0035881090462850035,0.006158122715418412,-0.005148822196745446,0.015474511662089125,,0.0019340831418982456,0.0010766270112745533,32.0,0.0,43.935759999999995,
2005-01-10,0.010207665909797665,0.0034169283837069677,-0.0020941626309194466,-0.0027643500581563903,-0.005148822196745446,-0.018557191511375387,,0.0012529471172018959,-0.0014358175119233423,32.0,0.0,43.935759999999995,
2005-01-11,0.00726238818699582,-0.0061182454723810965,-0.011525676306412488,-0.004555156045087711,-0.005148822196745446,0.0032057896017858713,,-0.0018796338784011284,-0.012287802019036832,32.0,0.0,43.935759999999995,
2005-01-12,-0.006657940224249701,0.003973499066449697,-0.011619578339146461,-0.007310801145659188,-0.007532689484112355,0.005728329902906422,,0.012206365970399608,-0.012808989906094874,32.0,0.0,43.935759999999995,
2005-01-13,0.0036037090863655034,-0.008667580994090578,0.0007885829376856952,0.003484953745921728,-0.008344038553145895,0.012004361853116593,,-0.004138601068083741,-0.004799718235407518,32.0,0.0,43.935759999999995,
2005-01-14,-0.007524383622280342,0.005986604031937076,0.004788860253271408,0.0042614736061182155,0.007033524245605067,0.004745635288837827,,0.017727033882856378,-0.002594023946778763,32.0,0.0,43.935759999999995,
2005-01-17,0.009487398527444965,0.005986604031937076,0.00310217388683753,0.005358252411384693,0.004249421566395646,-0.016546019578778978,,0.017727033882856378,-0.009319678603529629,32.0,0.0,43.935759999999995,
2005-01-18,0.0018716495993783206,0.005986604031937076,0.001224119933151726,-0.004715392009882557,-0.00557302554153715,-0.01752987033843714,,0.017727033882856378,0.0037383184454995756,32.0,0.0,43.935759999999995,
2005-01-19,0.005772211291507536,-0.009535422983762518,-0.0012146890577307183,-0.001161581061598813,-0.0015699539930015486,0.007526917256362853,,-0.01387160903213296,0.001863887217500987,32.0,0.0,43.935759999999995,
2005-01-20,0.005772211291507536,-0.007813441684863667,-0.005934269318131842,-0.00363859820941944,-0.01062766559172306,-0.02761187092370076,,-0.01249371088987667,0.0055710840212487844,32.0,0.0,43.935759999999995,
2005-01-21,0.005772211291507536,-0.006435479320456572,-0.0015958923092254014,0.000520611021990165,-0.004120160903441814,0.008771246248382478,,0.01352816281396318,-0.003710575785625153,32.0,0.0,43.935759999999995,
